pk_person_features,person_uri,occupation_main,occupation_sec1,coded_employer
1563,http://www.wikidata.org/entity/Q30343220,personnalité politique,enseignant-chercheur-ou-enseignante-chercheuse,organisation
1587,http://www.wikidata.org/entity/Q30348996,personnalité politique,"professeurs,-professions-scientifiques",université
1604,http://www.wikidata.org/entity/Q30349303,personnalité politique,professions-intermédiaires-de-la-santé-et-du-travail-social,organisation
1629,http://www.wikidata.org/entity/Q3034968,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,univ_organisation
1678,http://www.wikidata.org/entity/Q30379410,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,organisation
1699,http://www.wikidata.org/entity/Q30388733,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,other
1723,http://www.wikidata.org/entity/Q30395666,personnalité politique,"professeurs,-professions-scientifiques",université
1730,http://www.wikidata.org/entity/Q30417849,personnalité politique,anciens-cadres,organisation
1755,http://www.wikidata.org/entity/Q3047730,personnalité politique,économiste,université
1797,http://www.wikidata.org/entity/Q30513192,personnalité politique,"professeurs-des-écoles,-instituteurs-et-assimilés",other
1808,http://www.wikidata.org/entity/Q3052795,personnalité politique,"professeurs,-professions-scientifiques",univ_organisation
1861,http://www.wikidata.org/entity/Q3082745,personnalité politique,journaliste,other
1895,http://www.wikidata.org/entity/Q3085763,personnalité politique,journaliste,other
1908,http://www.wikidata.org/entity/Q3086490,personnalité politique,professeur-d'université,univ_other
1950,http://www.wikidata.org/entity/Q3102136,personnalité politique,avocat-ou-avocate,quotidien
1952,http://www.wikidata.org/entity/Q3102266,personnalité politique,botaniste,quotidien
2009,http://www.wikidata.org/entity/Q3120008,personnalité politique,professions-libérales-et-assimilés,other
2012,http://www.wikidata.org/entity/Q312034,personnalité politique,diplomate,other
2090,http://www.wikidata.org/entity/Q3131235,personnalité politique,professeur-d'université,univ_organisation
2141,http://www.wikidata.org/entity/Q3157296,personnalité politique,journaliste,quotidien
2215,http://www.wikidata.org/entity/Q3159822,personnalité politique,avocat-ou-avocate,other
2251,http://www.wikidata.org/entity/Q3165004,personnalité politique,anciens-cadres,univ_organisation
2256,http://www.wikidata.org/entity/Q3165099,personnalité politique,"professeurs,-professions-scientifiques",université
2271,http://www.wikidata.org/entity/Q3165682,personnalité politique,journaliste,other
2331,http://www.wikidata.org/entity/Q3168006,personnalité politique,professeur-d'université,université
2341,http://www.wikidata.org/entity/Q3168380,personnalité politique,anciens-cadres,université
2357,http://www.wikidata.org/entity/Q3168817,personnalité politique,officiel,other
2501,http://www.wikidata.org/entity/Q3174130,personnalité politique,enseignant-chercheur-ou-enseignante-chercheuse,université
2551,http://www.wikidata.org/entity/Q3187428,personnalité politique,journaliste,other
2566,http://www.wikidata.org/entity/Q3191042,personnalité politique,avocat-ou-avocate,other
2649,http://www.wikidata.org/entity/Q3286733,personnalité politique,professions-libérales-et-assimilés,univ_organisation
2698,http://www.wikidata.org/entity/Q3291808,personnalité politique,officiel,univ_organisation
2723,http://www.wikidata.org/entity/Q3295540,personnalité politique,journaliste,other
2733,http://www.wikidata.org/entity/Q32979246,personnalité politique,personnes-diverses-sans-activité-professionnelle-de-moins-de-60-ans-sauf-retraités,other
2792,http://www.wikidata.org/entity/Q3309872,personnalité politique,médecin,université
2794,http://www.wikidata.org/entity/Q3309935,personnalité politique,avocat-ou-avocate,organisation
2858,http://www.wikidata.org/entity/Q334065,personnalité politique,"professeurs,-professions-scientifiques",université
2860,http://www.wikidata.org/entity/Q3340996,personnalité politique,juriste,organisation
2861,http://www.wikidata.org/entity/Q3341021,personnalité politique,juriste,université
2864,http://www.wikidata.org/entity/Q3343518,personnalité politique,physicien-ou-physicienne,université
2904,http://www.wikidata.org/entity/Q3369516,personnalité politique,"professeurs,-professions-scientifiques",université
2943,http://www.wikidata.org/entity/Q3372063,personnalité politique,ingénieur-ou-ingénieure,organisation
2956,http://www.wikidata.org/entity/Q3379341,personnalité politique,"professeurs,-professions-scientifiques",université
3073,http://www.wikidata.org/entity/Q3386983,personnalité politique,résistant-ou-résistante,other
3193,http://www.wikidata.org/entity/Q3439077,personnalité politique,résistant-ou-résistante,other
3216,http://www.wikidata.org/entity/Q3440147,personnalité politique,journaliste,quotidien
3231,http://www.wikidata.org/entity/Q3476900,personnalité politique,enseignant-ou-enseignante,université
3307,http://www.wikidata.org/entity/Q3568187,personnalité politique,géographe,université
3312,http://www.wikidata.org/entity/Q3570771,personnalité politique,ingénieurs-et-cadres-techniques-d'entreprise,organisation
3321,http://www.wikidata.org/entity/Q3573330,personnalité politique,officiel,univ_organisation
3354,http://www.wikidata.org/entity/Q3574148,personnalité politique,pensionné,other
3390,http://www.wikidata.org/entity/Q365413,personnalité politique,résistant-ou-résistante,other
3392,http://www.wikidata.org/entity/Q366016,personnalité politique,médecin,organisation
3395,http://www.wikidata.org/entity/Q379229,personnalité politique,juriste,univ_other
3398,http://www.wikidata.org/entity/Q385437,personnalité politique,avocat-ou-avocate,univ_organisation
3401,http://www.wikidata.org/entity/Q389141,personnalité politique,médecin,organisation
3408,http://www.wikidata.org/entity/Q436173,personnalité politique,pharmacien-ou-pharmacienne,other
3425,http://www.wikidata.org/entity/Q45486323,personnalité politique,sociologue,organisation
3426,http://www.wikidata.org/entity/Q455023,personnalité politique,ministre,univ_organisation
3433,http://www.wikidata.org/entity/Q463260,personnalité politique,juriste,other
3436,http://www.wikidata.org/entity/Q467781,personnalité politique,avocat-ou-avocate,organisation
3440,http://www.wikidata.org/entity/Q47502155,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,other
3444,http://www.wikidata.org/entity/Q481398,personnalité politique,avocat-ou-avocate,université
3450,http://www.wikidata.org/entity/Q50384786,personnalité politique,écrivain-ou-écrivaine,other
3463,http://www.wikidata.org/entity/Q520375,personnalité politique,professeur-d'université,univ_other
3481,http://www.wikidata.org/entity/Q555147,personnalité politique,résistant-ou-résistante,quotidien
3482,http://www.wikidata.org/entity/Q559040,personnalité politique,pensionné,université
3494,http://www.wikidata.org/entity/Q57751,personnalité politique,professions-libérales-et-assimilés,other
3512,http://www.wikidata.org/entity/Q61861497,personnalité politique,professions-libérales-et-assimilés,université
3521,http://www.wikidata.org/entity/Q62354,personnalité politique,professions-libérales-et-assimilés,univ_organisation
3536,http://www.wikidata.org/entity/Q62976462,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,other
3574,http://www.wikidata.org/entity/Q636424,personnalité politique,écrivain-ou-écrivaine,other
3656,http://www.wikidata.org/entity/Q662406,personnalité politique,journaliste,other
3666,http://www.wikidata.org/entity/Q699510,personnalité politique,résistant-ou-résistante,univ_other
3670,http://www.wikidata.org/entity/Q711098,personnalité politique,professeur-d'université,univ_organisation
3680,http://www.wikidata.org/entity/Q728645,personnalité politique,ministre,other
3685,http://www.wikidata.org/entity/Q736013,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,other
3699,http://www.wikidata.org/entity/Q784751,personnalité politique,avocat-ou-avocate,other
3738,http://www.wikidata.org/entity/Q882038,personnalité politique,diplomate,univ_other
3746,http://www.wikidata.org/entity/Q929334,personnalité politique,diplomate,quotidien
3762,http://www.wikidata.org/entity/Q960150,personnalité politique,anciens-cadres,université
3771,http://www.wikidata.org/entity/Q965109,personnalité politique,avocat-ou-avocate,quotidien
3808,http://www.wikidata.org/entity/Q984375,personnalité politique,ministre,other
